train,test
0.443998894,0.563747624
0.602737832,0.602245722
0.636615044,0.639971483
0.664684735,0.645912548
0.67505531,0.667835076
0.687776549,0.656903517
0.695105088,0.669973859
0.705890487,0.686192966
0.717505531,0.639020913
0.718473451,0.693738118
0.725525442,0.707461977
0.729397124,0.677103137
0.740735619,0.706036122
0.742948009,0.696530418
0.75,0.679004278
0.759264381,0.71411597
0.755669248,0.721898764
0.774751106,0.727364544
0.773368363,0.71506654
0.785259956,0.710254278
0.787748894,0.718631179
0.794386062,0.725582224
0.798672566,0.731523289
0.803512168,0.738474335
0.806415929,0.717086502
0.808766593,0.753386407
0.813329646,0.731701521
0.820519912,0.743880703
0.828678097,0.739959601
0.828125,0.737404943
0.838080752,0.714056559
0.841399336,0.731463878
0.841675885,0.659992871
0.848727876,0.753445817
0.856747788,0.725285171
0.858130531,0.745068916
0.862831858,0.716967681
0.858821903,0.737642586
0.878733407,0.746257129
0.872234513,0.713105989
0.880669248,0.722314639
0.88011615,0.752138783
0.888689159,0.716789449
0.888412611,0.725463403
0.897538717,0.695104563
0.900027655,0.709660171
0.903346239,0.721720532
0.896709071,0.746078897
0.906941372,0.733721483
0.913301991,0.762416825
0.918556416,0.745187738
0.920353982,0.733127376
0.920215708,0.735206749
0.915652655,0.706749049
0.92699115,0.711086027
0.93431969,0.74815827
0.932660398,0.73710789
0.930862832,0.692846958
0.939159292,0.742870722
0.946211283,0.741860741
0.951465708,0.739187262
0.944137168,0.719284696
0.947455752,0.740672529
0.950082965,0.732830323
0.94261615,0.73348384
0.948147124,0.734731464
0.955613938,0.736454373
0.950221239,0.748395913
0.956028761,0.753267586
0.959347345,0.734850285
0.960315265,0.751485266
0.963495575,0.723918726
0.980641593,0.771803707
0.986034292,0.771981939
0.991565265,0.774952471
0.991426991,0.771863118
0.991012168,0.765387357
0.990459071,0.767763783
0.989076327,0.765625
0.992394912,0.772516635
0.990597345,0.772160171
0.990044248,0.770377852
0.988661504,0.76467443
0.993224558,0.766100285
0.993362832,0.766634981
0.990597345,0.762773289
0.989767699,0.746019487
0.989629425,0.764258555
0.990459071,0.757426331
0.988108407,0.756000475
0.989214602,0.753564639
0.986172566,0.765327947
0.991426991,0.770437262
0.991150442,0.76378327
0.990182522,0.756653992
0.986863938,0.719225285
0.988799779,0.756713403
0.993362832,0.757663973
0.993501106,0.765862643
0.995298673,0.746078897
0.985757743,0.743108365
0.984375,0.721898764
0.991426991,0.765922053
0.993086283,0.767882605
0.995298673,0.760040399
0.994192478,0.765090304
0.996543142,0.768714354
0.99681969,0.767585551
0.995990044,0.732770913
0.993224558,0.753267586
0.987002212,0.742454848
0.982577434,0.737583175
0.992809735,0.75095057
0.994469027,0.766040875
0.996128319,0.767526141
0.996266593,0.765981464
0.995575221,0.759743346
0.996543142,0.766991445
0.991288717,0.759921578
0.988384956,0.734077947
0.978844027,0.727305133
0.987970133,0.760396863
0.997511062,0.770140209
0.998478982,0.766872624
0.995160398,0.77019962
0.997649336,0.768298479
0.997649336,0.76378327
0.994469027,0.746435361
0.983821903,0.754039924
0.988384956,0.752495247
0.98755531,0.761109791
0.996128319,0.766397338
0.997511062,0.770318441
0.994745575,0.75730751
0.995713496,0.760931559
0.995575221,0.752851711
0.994745575,0.764912072
0.994745575,0.765743821
0.996543142,0.764852662
0.998340708,0.766991445
0.999170354,0.760931559
0.998478982,0.767229087
0.996543142,0.760575095
0.983545354,0.720057034
0.994330752,0.768120247
0.998064159,0.771625475
0.999585177,0.771744297
0.999446903,0.772694867
0.999861726,0.769367871
0.999723451,0.772219582
1,0.771387833
0.999308628,0.770437262
1,0.771981939
0.999723451,0.773288973
0.999723451,0.770556084
0.999723451,0.768654943
0.999585177,0.772219582
1,0.772813688
0.999723451,0.770971958
0.999861726,0.77293251
0.998617257,0.756951046
0.998755531,0.769070817
0.999861726,0.77115019
1,0.769367871
1,0.774893061
0.999861726,0.773170152
1,0.770615494
1,0.770140209
0.999585177,0.768833175
0.988108407,0.669736217
0.988938053,0.76289211
0.999170354,0.771981939
0.999861726,0.771090779
1,0.770853137
0.999723451,0.772338403
0.999723451,0.773645437
1,0.771566065
0.998755531,0.768833175
0.999170354,0.768060837
0.999861726,0.769427281
0.999170354,0.771981939
1,0.771566065
1,0.770674905
1,0.77394249
1,0.771328422
1,0.771387833
1,0.771328422
0.999585177,0.768120247
0.997234513,0.761406844
0.995713496,0.749584125
0.991841814,0.761406844
0.997234513,0.767882605
0.998755531,0.764436787
0.998617257,0.767169677
0.999170354,0.771625475
1,0.771269011
1,0.772576046
1,0.770437262
1,0.771803707
1,0.772397814
1,0.771328422
1,0.772219582
0.997234513,0.754218156
0.99903208,0.76651616
0.999308628,0.766456749
0.996543142,0.736751426
0.995160398,0.760040399
0.999308628,0.76467443
0.995990044,0.755703422
0.996404867,0.764199144
0.999446903,0.769783745
0.999585177,0.772278992
0.999861726,0.767050856
0.999446903,0.769011407
0.998755531,0.767050856
0.999723451,0.770140209
1,0.77025903
1,0.771090779
1,0.770793726
0.999861726,0.770377852
1,0.771090779
1,0.770912548
1,0.769367871
1,0.770377852
1,0.77019962
0.999861726,0.77115019
1,0.770437262
1,0.769724335
1,0.771803707
1,0.771328422
1,0.770377852
1,0.77299192
1,0.77019962
1,0.771625475
1,0.769664924
0.999723451,0.770377852
1,0.769843156
1,0.771684886
1,0.773467205
0.999446903,0.764139734
0.999861726,0.770080798
1,0.770912548
1,0.773051331
1,0.771863118
1,0.773051331
1,0.771744297
1,0.772278992
1,0.770971958
1,0.76930846
1,0.771031369
1,0.771981939
1,0.769961977
1,0.771744297
1,0.773467205
1,0.768179658
1,0.767763783
0.994054204,0.754218156
0.99903208,0.766337928
0.999585177,0.771803707
1,0.771031369
1,0.772219582
1,0.772457224
1,0.773288973
1,0.77210076
1,0.770853137
1,0.773704848
1,0.772813688
1,0.771506654
1,0.773586027
0.999861726,0.770615494
1,0.773407795
0.999861726,0.773467205
1,0.771684886
0.999861726,0.772754278
0.998202434,0.765981464
0.999308628,0.768179658
0.999861726,0.764317966
0.999170354,0.765625
0.999861726,0.769427281
0.999585177,0.769367871
1,0.769724335
1,0.769486692
1,0.768892586
1,0.769724335
1,0.770615494
1,0.771566065
0.999585177,0.768536122
1,0.770615494
1,0.771031369
1,0.771684886
1,0.771328422
1,0.770377852
1,0.771447243
1,0.771090779
1,0.77019962
1,0.769367871
1,0.771566065
1,0.769902567
1,0.770556084
1,0.771090779
1,0.770615494
1,0.771447243
1,0.770853137
1,0.770140209
1,0.771922529
1,0.772160171
1,0.771922529
1,0.77019962
1,0.771447243
0.999861726,0.769130228
1,0.770318441
1,0.769427281
1,0.770615494
1,0.771447243
1,0.772516635
1,0.772576046
1,0.771566065
0.999861726,0.770437262
1,0.769070817
1,0.771031369
1,0.770912548
1,0.770853137
1,0.771209601
1,0.768179658
1,0.770912548
1,0.770021388
1,0.771031369
1,0.77210076
1,0.771090779
1,0.770971958
1,0.771387833
1,0.771031369
1,0.772576046
1,0.77019962
1,0.769367871
1,0.772278992
1,0.770853137
1,0.770437262
1,0.767763783
0.999446903,0.769011407
0.998340708,0.771922529
1,0.770437262
1,0.771090779
1,0.772338403
1,0.77019962
1,0.773051331
1,0.771744297
1,0.771447243
1,0.772219582
1,0.771981939
1,0.771269011
1,0.771566065
1,0.771387833
1,0.770674905
1,0.77115019
1,0.769546103
1,0.771031369
1,0.771744297
1,0.770971958
1,0.771684886
1,0.772338403
1,0.77299192
1,0.771744297
1,0.772813688
1,0.772278992
1,0.771506654
1,0.771447243
1,0.771922529
1,0.77025903
1,0.771209601
0.999861726,0.768298479
1,0.769486692
1,0.769070817
1,0.769070817
1,0.770140209
1,0.769367871
1,0.770140209
1,0.769843156
1,0.768298479
1,0.768833175
1,0.77025903
1,0.770853137
1,0.770318441
1,0.770021388
1,0.770734316
1,0.769605513
1,0.769249049
1,0.770912548
1,0.769961977
1,0.768833175
1,0.772160171
1,0.771090779
1,0.769961977
1,0.769664924
1,0.771447243
1,0.771328422
1,0.771447243
1,0.770912548
1,0.770496673
1,0.770615494
1,0.77019962
1,0.770674905
1,0.77115019
1,0.77115019
1,0.769843156
0.999861726,0.767526141
0.999723451,0.77115019
0.999861726,0.767347909
1,0.768298479
1,0.770793726
1,0.770853137
1,0.768298479
1,0.77204135
1,0.768298479
1,0.768179658
1,0.771447243
1,0.769783745
1,0.770556084
1,0.771744297
0.999861726,0.770674905
1,0.769843156
1,0.770912548
1,0.771269011
1,0.770793726
1,0.772278992
1,0.769724335
1,0.771387833
1,0.769130228
1,0.77019962
1,0.769605513
1,0.768654943
1,0.769843156
1,0.770912548
1,0.769902567
1,0.770734316
1,0.770793726
1,0.77115019
1,0.770615494
1,0.770912548
1,0.769664924
1,0.769724335
1,0.770437262
1,0.770021388
1,0.771506654
1,0.770556084
1,0.770793726
0.999861726,0.770734316
1,0.770496673
1,0.770080798
1,0.770080798
1,0.770971958
1,0.771981939
1,0.771387833
1,0.770556084
1,0.77115019
1,0.77019962
1,0.770615494
1,0.770437262
1,0.771566065
1,0.771566065
1,0.772397814
1,0.771447243
1,0.770971958
1,0.771209601
1,0.772457224
1,0.771209601
1,0.771625475
1,0.771744297
1,0.769961977
1,0.769783745
1,0.770912548
1,0.769189639
1,0.77019962
1,0.771031369
1,0.771328422
1,0.77019962
1,0.771684886
1,0.770080798
1,0.770377852
1,0.772219582
1,0.770140209
1,0.769605513
1,0.770318441
1,0.771981939
1,0.77210076
1,0.769605513
1,0.770080798
1,0.770615494
1,0.770734316
1,0.768892586
1,0.77025903
1,0.769724335
1,0.771328422
1,0.769546103
1,0.77025903
1,0.771031369
1,0.76930846
1,0.771209601
1,0.770853137
1,0.771447243
1,0.769902567
1,0.771090779
1,0.771031369
1,0.770021388
1,0.770377852
1,0.770734316
1,0.769427281
1,0.770437262
1,0.771328422
1,0.768476711
1,0.771387833
1,0.772160171
